Localisation;Type de poste;Nombre d'ordinateurs;position
Saint-Eloi;Poste Jeunesse;1;48.8455293, 2.3871246
Aimé Césaire;Poste de passage Adulte;3;48.8320357, 2.310555
Hergé;Poste Jeunesse;5;48.8848773, 2.3674171
Colette Vivier;Poste Adulte et Jeunesse;6;48.8897366, 2.3197217
Diderot;Poste Jeunesse;2;48.8459745, 2.3777229
Batignolles;Poste de passage Adulte;1;48.8844441, 2.3219036
Marguerite Yourcenar;Catalogue;12;48.8367728, 2.3036789
Claire Bretécher (ex-Lancry);Catalogue;2;48.8719649, 2.3626033
L'Heure Joyeuse;Poste animation;1;48.8521289, 2.3452233
BILIPO;Poste chercheur;3;48.8465258, 2.3513354
Françoise Sagan;Catalogue;5;48.875818, 2.353533
Gutenberg;Poste Jeunesse;2;48.8402996, 2.278541
Italie;Poste de passage Jeunesse;1;48.8308705, 2.3569681
Marguerite Duras;Poste de passage Adulte;8;48.859817, 2.4032053
Claude Lévi-Strauss;Poste Adulte;6;48.8873166, 2.3724595
Amélie;Poste Adulte;3;48.8580602, 2.3089956
Oscar Wilde;Poste Adulte;2;48.8719634, 2.3998434
Louise Walser-Gaillard;Catalogue;3;48.8811111, 2.3323039
Italie;Poste de passage Adulte;2;48.8308705, 2.3569681
André Malraux;Poste de passage Adulte;2;48.8478671, 2.3275429
Arthur Rimbaud;Catalogue;2;48.8561772, 2.3556453
Bibliothèque de la Maison Paris Nature;Poste chercheur;1;48.830384, 2.450027699999964
Canopée;Poste Adulte et Jeunesse;8;48.862069, 2.346907
Saint-Simon;Poste de passage Adulte;1;48.8568598, 2.3200325
Sorbier;Poste Adulte;2;48.8659605, 2.3928351
Louise Michel;Catalogue;1;48.8531576, 2.4010184
Marguerite Duras;Poste Jeunesse;4;48.859817, 2.4032053
Gutenberg;Catalogue;2;48.8402996, 2.278541
Sorbier;Poste de passage Jeunesse;1;48.8659605, 2.3928351
Robert Sabatier;Catalogue;7;48.8905832, 2.3441532
Buffon;Poste Jeunesse;3;48.8419904, 2.3591175
Sagan - Heure Joyeuse patrimoine;Poste chercheur;2;48.875818, 2.353533
Jacqueline de Romilly;Poste animation;6;48.8993441, 2.3361773
Robert Sabatier;Poste Adulte;8;48.8905832, 2.3441532
Vandamme;Catalogue;4;48.8386225, 2.3218739
Buffon;Catalogue;5;48.8419904, 2.3591175
Crimée;Catalogue;1;48.8848913, 2.3830431
François Villon;Poste de passage Adulte;5;48.8772091, 2.3708098
Goutte d'or;Poste de passage Adulte;2;48.8841895, 2.3541593
Bibliothèque du Cinéma - François Truffaut;Catalogue;5;48.8623059, 2.3436367
Drouot;Poste de passage Adulte;1;48.8733839, 2.3404653
Marguerite Audoux;Catalogue;4;48.863631, 2.3600893
Bibliothèque Forney;Poste chercheur;6;48.8534255, 2.3591918
Françoise Sagan;Poste Jeunesse;5;48.875818, 2.353533
Andrée Chedid;Catalogue;7;48.849937, 2.2864279
Saint-Eloi;Poste Adulte;7;48.8455293, 2.3871246
Bibliothèque du Tourisme et des Voyages;Catalogue;1;48.8618192, 2.2847432
L'Heure Joyeuse;Catalogue;1;48.8521289, 2.3452233
Oscar Wilde;Catalogue;2;48.8719634, 2.3998434
Jacqueline Dreyfus-Weill;Poste de passage Adulte;1;48.8762706, 2.3881083
Vaugirard;Catalogue;3;48.8417004, 2.2993589
Batignolles;Poste Adulte;3;48.8844441, 2.3219036
Bibliothèque du Cinéma - François Truffaut;Poste chercheur DVD;13;48.8623059, 2.3436367
Place des fêtes;Poste Jeunesse;3;48.8793551, 2.3975049
Musset;Poste de passage Adulte;1;48.8415767, 2.2657172
Robert Sabatier;Poste de passage Jeunesse;1;48.8905832, 2.3441532
Parmentier;Poste Adulte;9;48.8591443, 2.3794671
Claude Lévi-Strauss;Catalogue;3;48.8873166, 2.3724595
Couronnes - Naguib Mahfouz;Poste Adulte;7;48.8718064, 2.3893099
Jacqueline de Romilly;Poste Adulte;4;48.8993441, 2.3361773
Médiathèque Musicale de Paris;Catalogue;6;48.86306045, 2.34573014115
Benjamin Rabier;Catalogue;1;48.8873166, 2.3724595
Bibliothèque de l'hôtel de Ville;Catalogue;5;48.8558463, 2.3531895
Courcelles;Poste Adulte et Jeunesse;2;48.8778252, 2.3029806
Edmond Rostand;Poste Jeunesse;4;48.8883086, 2.3027261
Vaclav Havel;Poste Adulte;14;48.8890032, 2.362957
Médiathèque Musicale de Paris;Poste de passage Adulte;1;48.86306045, 2.34573014115
Saint-Simon;Poste Jeunesse;1;48.8568598, 2.3200325
Georges Brassens;Catalogue;3;48.8350219, 2.3268861
Oscar Wilde;Poste de passage Jeunesse;1;48.8719634, 2.3998434
Saint-Simon;Catalogue;2;48.8568598, 2.3200325
Jacqueline Dreyfus-Weill;Poste Adulte;2;48.8762706, 2.3881083
Aimé Césaire;Poste Adulte;8;48.8320357, 2.310555
Crimée;Poste Adulte;2;48.8848913, 2.3830431
Glacière - Marina Tsvetaïeva;Poste Jeunesse;2;48.8311087, 2.3442413
L'Heure Joyeuse;Poste Jeunesse;2;48.8521289, 2.3452233
Bibliothèque historique de la Ville de Paris;Catalogue;3;48.8571172, 2.3617132
Sorbier;Catalogue;1;48.8659605, 2.3928351
Violette Leduc;Poste animation;1;48.8515962, 2.3839448
Bibliothèque de la Maison de Balzac;Catalogue;1;48.8551734, 2.2807446
Gutenberg;Poste Adulte;1;48.8402996, 2.278541
Rainer Maria Rilke;Catalogue;5;48.8392527, 2.3383332
Amélie;Poste Adulte et Jeunesse;2;48.8580602, 2.3089956
Claude Lévi-Strauss;Poste animation;1;48.8873166, 2.3724595
Couronnes - Naguib Mahfouz;Poste de passage Adulte;2;48.8718064, 2.3893099
Marguerite Duras;Poste Adulte et Jeunesse;6;48.859817, 2.4032053
Bibliothèque de l'hôtel de Ville;Poste chercheur;9;48.8558463, 2.3531895
L'Heure Joyeuse;Poste Adulte;4;48.8521289, 2.3452233
Saint-Simon;Poste Adulte;4;48.8568598, 2.3200325
Mortier;Poste Jeunesse;1;48.8715798, 2.408439
Hélène Berr;Poste de passage Jeunesse;1;48.8425318, 2.3974589
Valeyre;Poste de passage Adulte;2;48.8779745, 2.3450099
Rainer Maria Rilke;Poste de passage Adulte;2;48.8392527, 2.3383332
Sagan - Heure Joyeuse patrimoine;Catalogue;1;48.875818, 2.353533
Europe;Poste Adulte;5;48.8775273073, 2.31749791213
Hélène Berr;Catalogue;10;48.8425318, 2.3974589
Assia Djebar;Poste de passage Adulte;2;48.8492765, 2.412011600000028
Mohammed Arkoun;Poste Jeunesse;1;48.8424926, 2.3496874
Centre de Documentation sur les métiers du Livre;Catalogue;2;48.8419904, 2.3591175
Hélène Berr;Poste Jeunesse;4;48.8425318, 2.3974589
Maurice Genevoix;Poste Adulte et Jeunesse;5;48.894909, 2.3637139
Vaclav Havel;Poste Jeunesse;4;48.8890032, 2.362957
Marguerite Yourcenar;Poste animation;9;48.8367728, 2.3036789
Vaugirard;Poste Jeunesse;1;48.8417004, 2.2993589
Arthur Rimbaud;Poste de passage Adulte;3;48.8561772, 2.3556453
Françoise Sagan;Poste animation;8;48.875818, 2.353533
Andrée Chedid;Poste de passage Adulte;4;48.849937, 2.2864279
Hergé;Poste de passage Adulte;4;48.8848773, 2.3674171
Courcelles;Catalogue;1;48.8778252, 2.3029806
Vaclav Havel;Poste Adulte et Jeunesse;5;48.8890032, 2.362957
Jean-Pierre Melville;Poste animation;4;48.8268092, 2.3663928
Drouot;Poste Adulte;4;48.8733839, 2.3404653
Vaugirard;Poste de passage Adulte;1;48.8417004, 2.2993589
Charlotte Delbo;Poste de passage Adulte;1;48.8665015, 2.3404242
Bibliothèque de l'Ecole du Breuil;Catalogue;1;48.8235741, 2.4572662
Batignolles;Catalogue;2;48.8844441, 2.3219036
Edmond Rostand;Poste de passage Adulte;4;48.8883086, 2.3027261
Colette Vivier;Poste de passage Jeunesse;1;48.8897366, 2.3197217
Saint-Eloi;Catalogue;3;48.8455293, 2.3871246
Vaclav Havel;Catalogue;4;48.8890032, 2.362957
Jean-Pierre Melville;Poste de passage Adulte;6;48.8268092, 2.3663928
Andrée Chedid;Poste Jeunesse;3;48.849937, 2.2864279
Sorbier;Poste Adulte et Jeunesse;1;48.8659605, 2.3928351
Marguerite Yourcenar;Poste Jeunesse;8;48.8367728, 2.3036789
Arthur Rimbaud;Poste Adulte et Jeunesse;4;48.8561772, 2.3556453
Louise Michel;Poste de passage Adulte;4;48.8531576, 2.4010184
L'Heure Joyeuse;Poste de passage Jeunesse;1;48.8521289, 2.3452233
Rainer Maria Rilke;Poste Jeunesse;2;48.8392527, 2.3383332
Gutenberg;Poste de passage Jeunesse;3;48.8402996, 2.278541
Marguerite Duras;Poste Adulte;19;48.859817, 2.4032053
Bibliothèque Marguerite Durand;Catalogue;3;48.8268092, 2.3663928
Goutte d'or;Catalogue;4;48.8841895, 2.3541593
Place des fêtes;Catalogue;2;48.8793551, 2.3975049
Sorbier;Poste de passage Adulte;1;48.8659605, 2.3928351
Valeyre;Poste Adulte;4;48.8779745, 2.3450099
Georges Brassens;Poste de passage Jeunesse;1;48.8350219, 2.3268861
Andrée Chedid;Poste Adulte;15;48.849937, 2.2864279
Goutte d'or;Poste Adulte;8;48.8841895, 2.3541593
Aimé Césaire;Poste Jeunesse;4;48.8320357, 2.310555
Louise Michel;Poste Adulte;4;48.8531576, 2.4010184
Benjamin Rabier;Poste Jeunesse;4;48.8873166, 2.3724595
Germaine Tillion;Poste de passage Jeunesse;1;48.8618192, 2.2847432
Glacière - Marina Tsvetaïeva;Poste Adulte;4;48.8311087, 2.3442413
Edmond Rostand;Catalogue;5;48.8883086, 2.3027261
André Malraux;Catalogue;7;48.8478671, 2.3275429
Europe;Poste de passage Adulte;1;48.8775273073, 2.31749791213
Amélie;Poste de passage Adulte;2;48.8580602, 2.3089956
Germaine Tillion;Poste de passage Adulte;5;48.8618192, 2.2847432
Mohammed Arkoun;Poste de passage Adulte;1;48.8424926, 2.3496874
Vandamme;Poste de passage Jeunesse;1;48.8386225, 2.3218739
Louise Walser-Gaillard;Poste de passage Adulte;2;48.8811111, 2.3323039
Jacqueline Dreyfus-Weill;Catalogue;2;48.8762706, 2.3881083
Georges Brassens;Poste Jeunesse;3;48.8350219, 2.3268861
François Villon;Catalogue;4;48.8772091, 2.3708098
Saint-Eloi;Poste de passage Jeunesse;1;48.8455293, 2.3871246
Jean-Pierre Melville;Catalogue;5;48.8268092, 2.3663928
Valeyre;Poste de passage Jeunesse;1;48.8779745, 2.3450099
Goutte d'or;Poste Jeunesse;4;48.8841895, 2.3541593
Italie;Catalogue;6;48.8308705, 2.3569681
Robert Sabatier;Poste de passage Adulte;4;48.8905832, 2.3441532
Sorbier;Poste Jeunesse;1;48.8659605, 2.3928351
Canopée;Poste Jeunesse;2;48.862069, 2.346907
Violette Leduc;Poste Adulte;7;48.8515962, 2.3839448
Bibliothèque historique de la Ville de Paris;Poste chercheur;9;48.8571172, 2.3617132
Crimée;Poste de passage Adulte;1;48.8848913, 2.3830431
Vaclav Havel;Poste animation;1;48.8890032, 2.362957
Assia Djebar;Catalogue;1;48.8492765, 2.412011600000028
Diderot;Catalogue;2;48.8459745, 2.3777229
Jacqueline de Romilly;Poste de passage Adulte;4;48.8993441, 2.3361773
Canopée;Catalogue;2;48.862069, 2.346907
Hélène Berr;Poste Adulte;13;48.8425318, 2.3974589
Claire Bretécher (ex-Lancry);Poste de passage Adulte;1;48.8719649, 2.3626033
